"id";"origin";"product_uos_qty";"create_date";"move_dest_id";"product_uom";"price_unit";"product_uom_qty";"company_id";"date";"product_qty";"product_uos";"location_id";"priority";"picking_type_id";"partner_id";"note";"state";"origin_returned_move_id";"product_packaging";"date_expected";"procurement_id";"name";"create_uid";"warehouse_id";"inventory_id";"partially_available";"propagate";"restrict_partner_id";"procure_method";"write_uid";"restrict_lot_id";"group_id";"product_id";"split_from";"picking_id";"location_dest_id";"write_date";"push_rule_id";"rule_id";"invoice_state";"purchase_line_id";"consumed_for";"raw_material_production_id";"production_id";"weight";"weight_net";"weight_uom_id";"auto_move";"x_imb_y";"x_imb_x";"x_imb_z"
28258;"";;"2017-07-28 08:53:52.016971";;1;;10.000;1;"2017-07-28 08:53:52";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:52";;"INV:INV: Almeria completo lenzuola varie misure";6;;11815;f;t;;"make_to_stock";6;;;29567;;;12;"2017-07-28 08:53:52.016971";;;"none";;;;;0.00;0.00;3;f;;;
28259;"";;"2017-07-28 08:53:53.263499";;1;;10.000;1;"2017-07-28 08:53:53";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:53";;"INV:INV: Almeria completo lenzuola varie misure";6;;11816;f;t;;"make_to_stock";6;;;29569;;;12;"2017-07-28 08:53:53.263499";;;"none";;;;;0.00;0.00;3;f;;;
28260;"";;"2017-07-28 08:53:54.294941";;1;;10.000;1;"2017-07-28 08:53:54";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:54";;"INV:INV: Almeria completo lenzuola varie misure";6;;11817;f;t;;"make_to_stock";6;;;29570;;;12;"2017-07-28 08:53:54.294941";;;"none";;;;;0.00;0.00;3;f;;;
28261;"";;"2017-07-28 08:53:55.481303";;1;;10.000;1;"2017-07-28 08:53:55";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:55";;"INV:INV: Almeria completo lenzuola varie misure";6;;11818;f;t;;"make_to_stock";6;;;29572;;;12;"2017-07-28 08:53:55.481303";;;"none";;;;;0.00;0.00;3;f;;;
28262;"";;"2017-07-28 08:53:56.238912";;1;;10.000;1;"2017-07-28 08:53:56";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:56";;"INV:INV: Almeria completo lenzuola varie misure";6;;11819;f;t;;"make_to_stock";6;;;29573;;;12;"2017-07-28 08:53:56.238912";;;"none";;;;;0.00;0.00;3;f;;;
28263;"";;"2017-07-28 08:53:57.46705";;1;;10.000;1;"2017-07-28 08:53:57";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:57";;"INV:INV: Almeria completo lenzuola varie misure";6;;11820;f;t;;"make_to_stock";6;;;29575;;;12;"2017-07-28 08:53:57.46705";;;"none";;;;;0.00;0.00;3;f;;;
28264;"";;"2017-07-28 08:53:58.240869";;1;;10.000;1;"2017-07-28 08:53:58";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:58";;"INV:INV: Almeria completo lenzuola varie misure";6;;11821;f;t;;"make_to_stock";6;;;29576;;;12;"2017-07-28 08:53:58.240869";;;"none";;;;;0.00;0.00;3;f;;;
28265;"";;"2017-07-28 08:53:59.421165";;1;;10.000;1;"2017-07-28 08:53:59";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:53:59";;"INV:INV: Almeria completo lenzuola varie misure";6;;11822;f;t;;"make_to_stock";6;;;29578;;;12;"2017-07-28 08:53:59.421165";;;"none";;;;;0.00;0.00;3;f;;;
28266;"";;"2017-07-28 08:54:00.629696";;1;;10.000;1;"2017-07-28 08:54:00";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:00";;"INV:INV: Almeria Copripiumino varie misure";6;;11823;f;t;;"make_to_stock";6;;;29579;;;12;"2017-07-28 08:54:00.629696";;;"none";;;;;0.00;0.00;3;f;;;
28267;"";;"2017-07-28 08:54:01.935271";;1;;10.000;1;"2017-07-28 08:54:02";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:02";;"INV:INV: Almeria Copripiumino varie misure";6;;11824;f;t;;"make_to_stock";6;;;29581;;;12;"2017-07-28 08:54:01.935271";;;"none";;;;;0.00;0.00;3;f;;;
